region,ISO,month 1  death rate,month 8  death rate,month 9  death rate,month 10  death rate,month 11  death rate,month 12  death rate,death rate 6mo agg
AFG.16.R679857e5b8c74688,AFG,-0.46855571133086654,-1.4765972163431285,-1.0526639531260964,-0.6756109627225381,-0.6748076673916205,-0.16375903556075416,-4.5119945464750035
AFG.17,AFG,-0.6032858810071927,0.00969611541043273,0.5104259329015298,0.13466756621462786,-0.35605442267421106,-0.2424269702995441,-0.5469776594543575
AFG.18.197,AFG,-0.560623231717803,-2.600930987313851,-0.34480680091503174,-0.8219185115030946,-0.5736036801962905,-0.6969281023848047,-5.5988113140308755
AFG.18.R02a221614471fb78,AFG,-0.723904925842438,-2.5760985878198164,-0.5294793083381483,-1.0618505508457594,-0.82613052550993,-0.9378315044638981,-6.65529540281999
AFG.18.R3945a21254a36b53,AFG,-0.6726929107280826,-2.775276922778036,-0.39515730645641123,-1.040078513629721,-0.7629257125690206,-0.8530443479429886,-6.49917571410426
AFG.19.201,AFG,-0.447992842932276,0.7624971869433275,0.7336828601952871,0.18390516094899811,-0.25132962244126,-0.13717098698638677,0.8435917557276899
AFG.19.Rb70c80870c4e3972,AFG,-0.7277218693209901,0.9336514349141706,0.6959034815427599,-0.025367691164853236,-0.3707159671829111,-0.15044641132613862,0.3553029774620374
AFG.19.Rcd8a19e4e02eef13,AFG,-0.8937512070486963,1.7082218840503407,1.289198010882394,0.09639838600275863,-0.34281665071012374,-0.19209670263349318,1.66515372054318
AFG.2.16,AFG,-0.16947473066424656,0.31736873122073095,-0.6899625321490516,-1.1917051195089488,-0.7957430248451419,-0.24408965149273557,-2.7736063274393934
AFG.2.20,AFG,-0.1824857259933488,0.3378735869889416,-0.40596418214394325,-1.3862574425504777,-0.9733660941555277,-0.4442290749995048,-3.0544289328538605
AFG.2.Re52952e4e6b141e6,AFG,-0.6100524244272171,-0.9268281250308769,-0.5760055361386666,-1.7360214304590709,-1.2532447779620626,-1.0965259518468853,-6.198678245864779
AFG.20.204,AFG,-0.22837948311974174,-1.8970116911176895,-1.4547880914959597,-1.1972594739218654,-0.6311426503361918,-0.18316893807552256,-5.59175032806697
AFG.20.R3c3b3822ad703202,AFG,-0.2246496645980996,-2.1122438820223732,-1.6698411984889792,-0.6765412304969182,-0.4621036075619594,-0.07959161749455815,-5.224971200662888
AFG.21.212,AFG,-0.9042970926358429,1.8755704326834672,1.4012414859319529,0.1337322036015213,-0.29968910003358024,-0.1968834150686777,2.00967451447884
AFG.21.217,AFG,-0.844838345428273,1.727355459815393,1.2829725726055936,0.12295277845251003,-0.27319544439965504,-0.18406563285281188,1.831181388192757
AFG.21.R335bc53b76ceae53,AFG,-0.8641557012700771,1.6983354115089007,1.299763962396732,0.11459497365625351,-0.29746998288504073,-0.1923072598439272,1.7587614035628414
AFG.21.R452a3f16b7c93204,AFG,-0.8341868843350617,1.3280459660470614,1.0260592288155106,-0.01638840255018237,-0.40813972421563355,-0.18851174568084028,0.9068784380808541
AFG.21.Ra6cf658876a55bf9,AFG,-0.8797070342192781,1.1797035899623805,1.177360135572429,0.031018122142804295,-0.41924642972716697,-0.22566185150069099,0.8634665322304778
AFG.22.231,AFG,-0.8816620873829993,-4.391735677265887,1.6707848395973275,0.4191604916416855,-1.2124110358215023,-1.2085814770655667,-5.604444946296942
AFG.22.233,AFG,-1.0304522978436872,-5.239537900554686,1.9811734957806508,0.8160288574266263,-1.714918898987775,-1.5479797004706592,-6.735686444649531
AFG.22.R8dc821211617773c,AFG,-1.3729538886180894,-4.702360300020623,1.946012663935631,0.44746604029269277,-2.468801203753221,-2.076899440382854,-8.227536128546463
AFG.23,AFG,-0.13124663959723465,-0.9711967085231563,-0.4481265781228639,0.6572630412616001,0.12580343808005054,-0.1342346392324855,-0.9017380861340897
AFG.24.252,AFG,-0.5170411377456557,2.3743051214446678,0.09358543899609661,-1.0034970608841964,-0.9711123858748303,-0.4554093086892818,-0.4791693327531998
AFG.24.R6806f602c75dfaa2,AFG,-0.3001729056211695,-0.7694124786169747,-1.3786883952952147,-1.2948492293835927,-0.7141612964353363,-0.43011170127102577,-4.887396006623313
AFG.24.Rd61b76c20460e178,AFG,-0.23870660469238653,-1.9210110555305389,-1.9500488260495905,-1.2154649720795958,-0.6507543745076225,-0.2092130863999377,-6.185198919259673
AFG.25.255,AFG,-0.37673788545070397,-1.8984330642384761,-1.74933714100561,-0.5433524223278681,-0.4647801489607143,-0.029977365064366712,-5.062618027047739
AFG.25.Rf77ed53d6994d2ee,AFG,-0.19586342580021418,-3.219184855775579,-2.5348600209185626,-0.7657546414247756,-0.46650052753339255,-0.05629789826325181,-7.238461369715776
AFG.26.273,AFG,-0.34127782473076385,-1.7317399453809106,-1.6063419457814927,-0.501554000745408,-0.43017720684839117,-0.032537198411031,-4.643628121897998
