region,ISO,month 1  total deaths,month 8  total deaths,month 9  total deaths,month 10  total deaths,month 11  total deaths,month 12  total deaths,total deaths 6mo agg
AGO.10.83,AGO,-1.8172324633847003,0.41371585001521205,-0.13639984173673178,-0.13191521121563607,-1.2393106416363109,-2.070975155032181,-4.982117462990349
AGO.10.84,AGO,-2.165929493221108,0.727314997597935,-0.7394899551252742,-0.2096891510839015,-0.9819220461919481,-2.432285374561283,-5.80200102258558
AGO.10.85.280,AGO,-6.743049248757848,-2.1909687154255666,-4.767647994874983,-2.1301786659692117,-4.409004370678202,-7.560496646578292,-27.801345642284105
AGO.10.86,AGO,-1.8921755079685778,1.7885725395166134,0.1538049941948481,-0.375526088831308,-0.5550134556937693,-1.8123860231287214,-2.6927235419109152
AGO.10.87,AGO,-1.8257226169166072,0.7315793981903571,0.006600366084125461,-0.21413133637946744,-0.9590665554439677,-1.937197986798008,-4.197938731263568
AGO.10.88,AGO,-15.817233163166494,-5.727657665917815,-9.626197519040065,-4.506747532100852,-11.271354010856163,-17.22732240851383,-64.17651229959522
AGO.10.89,AGO,-3.683130129340159,3.787437812223831,-0.014145340638146058,-0.7965804421680657,-0.625382990444478,-3.2840922991070647,-4.615893389474082
AGO.10.90,AGO,-2.7579800169124926,-0.46138394405416006,-1.4127350747631024,-0.7239692188903537,-1.9798471531458175,-3.2395471638959417,-10.575462571661868
AGO.10.91.297,AGO,-4.981941496193896,2.774509578526734,-0.457160135047385,-0.1246955236590103,-2.647010312918039,-6.103889385290227,-11.540187274581822
AGO.11.100,AGO,45.3958676451636,-32.515438385803996,-55.12073467113358,-16.645345938659656,12.737965738726908,32.351750096692655,-13.795935515014072
AGO.11.92,AGO,16.03591147713323,-11.272675479767232,-16.416548159850947,-3.404814159853026,5.333241963360972,11.249684163349473,1.5247998043724689
